ID	Sample	Project	Run_Seq	Pool
20606_4066_0219_P1	20606	4066	0219	P1
20606_4216_0075	20606	4216	0075	NA
20607_4216_0003	20607	4216	0003	NA
20607_4483_0269_P1	20607	4483	0269	P1
20608_4216_0002	20608	4216	0002	NA
20608_4483_0243_P1	20608	4483	0243	P1
20611_4483_0210_P1	20611	4483	0210	P1
20612_4483_0265_P1	20612	4483	0265	P1
20613_4483_0266_P1	20613	4483	0266	P1
20615_4216_0142	20615	4216	0142	NA
20618_4216_0127	20618	4216	0127	NA
20621_4066_0249_P1	20621	4066	0249	P1
20621_4216_0151	20621	4216	0151	NA
20626_4216_0141	20626	4216	0141	NA
20626_4483_0331_P2	20626	4483	0331	P2
20648_4216_0029	20648	4216	0029	NA
20648_4483_0319_P2	20648	4483	0319	P2
20653_4066_0250_P1	20653	4066	0250	P1
20653_4216_0156	20653	4216	0156	NA
20654_4483_0267_P1	20654	4483	0267	P1
20659_4216_0121	20659	4216	0121	NA
20660_4483_0280_P1	20660	4483	0280	P1
20661_4483_0221_P1	20661	4483	0221	P1
20666_4216_0140	20666	4216	0140	NA
20666_4483_0255_P1	20666	4483	0255	P1
20668_4216_0060	20668	4216	0060	NA
20668_4483_0348_P2	20668	4483	0348	P2
20682_4066_0194_P1	20682	4066	0194	P1
20682_4216_0021	20682	4216	0021	NA
20684_4066_0298_P2	20684	4066	0298	P2
20691_4066_0308_P2	20691	4066	0308	P2
20694_4066_0299_P2	20694	4066	0299	P2
20695_4216_0036	20695	4216	0036	NA
20695_4483_0245_P1	20695	4483	0245	P1
20701_4066_0370_P2	20701	4066	0370	P2
20717_4216_0024	20717	4216	0024	NA
20717_4483_0235_P1	20717	4483	0235	P1
20719_4216_0045	20719	4216	0045	NA
20736_4483_0193_P1	20736	4483	0193	P1
20737_4066_0227_P1	20737	4066	0227	P1
20737_4216_0064	20737	4216	0064	NA
20738_4216_0065	20738	4216	0065	NA
20738_4483_0271_P1	20738	4483	0271	P1
20739_4483_0282_P1	20739	4483	0282	P1
20741_4066_0195_P1	20741	4066	0195	P1
20747_4066_0196_P1	20747	4066	0196	P1
20754_4216_0010	20754	4216	0010	NA
20754_4483_0365_P2	20754	4483	0365	P2
20760_4483_0277_P1	20760	4483	0277	P1
20762_4483_0322_P2	20762	4483	0322	P2
20771_4066_0228_P1	20771	4066	0228	P1
20771_4216_0061	20771	4216	0061	NA
20774_4066_0205_P1	20774	4066	0205	P1
20774_4216_0093	20774	4216	0093	NA
20775_4066_0211_P1	20775	4066	0211	P1
20775_4216_0031	20775	4216	0031	NA
20779_4066_0229_P1	20779	4066	0229	P1
20779_4216_0032	20779	4216	0032	NA
20782_4483_0216_P1	20782	4483	0216	P1
20785_4066_0212_P1	20785	4066	0212	P1
20788_4483_0217_P1	20788	4483	0217	P1
20794_4066_0213_P1	20794	4066	0213	P1
20799_4066_0214_P1	20799	4066	0214	P1
20811_4483_0229_P1	20811	4483	0229	P1
20818_4216_0026	20818	4216	0026	NA
20818_4483_0313_P2	20818	4483	0313	P2
20828_4216_0063	20828	4216	0063	NA
20828_4483_0253_P1	20828	4483	0253	P1
20836_4216_0090	20836	4216	0090	NA
20863_4483_0286_P1	20863	4483	0286	P1
20863_4483_0286_P2	20863	4483	0286	P2
20872_4216_0030	20872	4216	0030	NA
20872_4483_0254_P1	20872	4483	0254	P1
20877_4483_0228_P1	20877	4483	0228	P1
20878_4483_0285_P1	20878	4483	0285	P1
20878_4483_0285_P2	20878	4483	0285	P2
20883_4216_0033	20883	4216	0033	NA
20885_4066_0197_P1	20885	4066	0197	P1
20885_4216_0022	20885	4216	0022	NA
20890_4216_0103	20890	4216	0103	NA
20890_4483_0237_P1	20890	4483	0237	P1
20919_4483_0262_P1	20919	4483	0262	P1
20928_4066_0378_P2	20928	4066	0378	P2
20929_4066_0251_P1	20929	4066	0251	P1
20929_4216_0155	20929	4216	0155	NA
20932_4483_0288_P1	20932	4483	0288	P1
20932_4483_0288_P2	20932	4483	0288	P2
20933_4216_0105	20933	4216	0105	NA
20936_4216_0048	20936	4216	0048	NA
20939_4066_0232_P1	20939	4066	0232	P1
20939_4216_0159	20939	4216	0159	NA
20949_4483_0323_P2	20949	4483	0323	P2
20954_4066_0270_P1	20954	4066	0270	P1
20957_4066_0230_P1	20957	4066	0230	P1
20967_4483_0380_P2	20967	4483	0380	P2
20972_4066_0220_P1	20972	4066	0220	P1
20972_4216_0073	20972	4216	0073	NA
20977_4066_0271_P1	20977	4066	0271	P1
20989_4216_0122	20989	4216	0122	NA
20989_4483_0211_P1	20989	4483	0211	P1
20991_4483_0346_P2	20991	4483	0346	P2
21000_4216_0104	21000	4216	0104	NA
21010_4483_0230_P1	21010	4483	0230	P1
21030_4483_0272_P1	21030	4483	0272	P1
21031_4066_0233_P1	21031	4066	0233	P1
21031_4216_0161	21031	4216	0161	NA
21035_4216_0005	21035	4216	0005	NA
21037_4483_0246_P1	21037	4483	0246	P1
21040_4216_0101	21040	4216	0101	NA
21040_4483_0240_P1	21040	4483	0240	P1
21045_4216_0047	21045	4216	0047	NA
21046_4483_0204_P1	21046	4483	0204	P1
21048_4066_0221_P1	21048	4066	0221	P1
21048_4216_0077	21048	4216	0077	NA
21049_4216_0044	21049	4216	0044	NA
21055_4216_0007	21055	4216	0007	NA
21055_4483_0260_P1	21055	4483	0260	P1
21059_4216_0043	21059	4216	0043	NA
21060_4066_0263_P1	21060	4066	0263	P1
21068_4066_0234_P1	21068	4066	0234	P1
21068_4216_0081	21068	4216	0081	NA
21079_4483_0374_P2	21079	4483	0374	P2
21081_4066_0235_P1	21081	4066	0235	P1
21081_4216_0158	21081	4216	0158	NA
21097_4216_0055	21097	4216	0055	NA
21117_4066_0206_P1	21117	4066	0206	P1
21117_4216_0091	21117	4216	0091	NA
21118_4216_0088	21118	4216	0088	NA
21125_4483_0222_P1	21125	4483	0222	P1
21129_4216_0028	21129	4216	0028	NA
21129_4483_0268_P1	21129	4483	0268	P1
21130_4066_0198_P1	21130	4066	0198	P1
21135_4216_0016	21135	4216	0016	NA
21138_4066_0207_P1	21138	4066	0207	P1
21138_4216_0095	21138	4216	0095	NA
21139_4216_0089	21139	4216	0089	NA
21140_4216_0119	21140	4216	0119	NA
21140_4483_0344_P2	21140	4483	0344	P2
21150_4483_0207_P1	21150	4483	0207	P1
21153_4216_0111	21153	4216	0111	NA
21157_4483_0224_P1	21157	4483	0224	P1
21159_4216_0120	21159	4216	0120	NA
21166_4216_0011	21166	4216	0011	NA
21166_4483_0261_P1	21166	4483	0261	P1
21168_4216_0136	21168	4216	0136	NA
21174_4066_0215_P1	21174	4066	0215	P1
21178_4216_0134	21178	4216	0134	NA
21178_4483_0197_P1	21178	4483	0197	P1
21185_4483_0270_P1	21185	4483	0270	P1
21187_4066_0236_P1	21187	4066	0236	P1
21187_4216_0080	21187	4216	0080	NA
21189_4216_0132	21189	4216	0132	NA
21189_4483_0220_P1	21189	4483	0220	P1
21199_4066_0264_P1	21199	4066	0264	P1
21203_4066_0237_P1	21203	4066	0237	P1
21203_4216_0160	21203	4216	0160	NA
21210_4066_0295_P2	21210	4066	0295	P2
21213_4216_0148	21213	4216	0148	NA
21213_4483_0325_P2	21213	4483	0325	P2
21224_4066_0285_P1	21224	4066	0285	P1
21224_4066_0285_P2	21224	4066	0285	P2
21226_4216_0053	21226	4216	0053	NA
21228_4066_0199_P1	21228	4066	0199	P1
21234_4483_0206_P1	21234	4483	0206	P1
21245_4216_0004	21245	4216	0004	NA
21245_4483_0252_P1	21245	4483	0252	P1
21249_4216_0070	21249	4216	0070	NA
21250_4483_0208_P1	21250	4483	0208	P1
21254_4216_0149	21254	4216	0149	NA
21254_4483_0199_P1	21254	4483	0199	P1
21256_4216_0152	21256	4216	0152	NA
21256_4483_0196_P1	21256	4483	0196	P1
21257_4216_0126	21257	4216	0126	NA
21262_4066_0208_P1	21262	4066	0208	P1
21262_4216_0094	21262	4216	0094	NA
21265_4066_0209_P1	21265	4066	0209	P1
21265_4216_0098	21265	4216	0098	NA
21272_4216_0147	21272	4216	0147	NA
21276_4066_0222_P1	21276	4066	0222	P1
21276_4216_0079	21276	4216	0079	NA
21280_4216_0106	21280	4216	0106	NA
21282_4483_0232_P1	21282	4483	0232	P1
21287_4066_0200_P1	21287	4066	0200	P1
21299_4066_0353_P2	21299	4066	0353	P2
21303_4216_0123	21303	4216	0123	NA
21303_4483_0318_P2	21303	4483	0318	P2
21306_4216_0069	21306	4216	0069	NA
25819_4066_0329_P2	25819	4066	0329	P2
25923_4483_0303_P2	25923	4483	0303	P2
30013_4066_0315_P2	30013	4066	0315	P2
30019_4066_0316_P2	30019	4066	0316	P2
30027_4066_0309_P2	30027	4066	0309	P2
30052_4483_0357_P2	30052	4483	0357	P2
30060_4066_0354_P2	30060	4066	0354	P2
30064_4483_0195_P1	30064	4483	0195	P1
30066_4483_0312_P2	30066	4483	0312	P2
30078_4066_0331_P2	30078	4066	0331	P2
30088_4066_0254_P1	30088	4066	0254	P1
30104_4066_0272_P1	30104	4066	0272	P1
30125_4066_0310_P2	30125	4066	0310	P2
30153_4483_0287_P1	30153	4483	0287	P1
30153_4483_0287_P2	30153	4483	0287	P2
30183_4066_0265_P1	30183	4066	0265	P1
30232_4066_0371_P2	30232	4066	0371	P2
30237_4066_0346_P2	30237	4066	0346	P2
30250_4066_0372_P2	30250	4066	0372	P2
30255_4066_0317_P2	30255	4066	0317	P2
